gene	EPI_E5	PE_E5	EPI_E6	PE_E6	EPI_E7	PE_E7
PRDM14	55.7	11	52.8	7.5	43.6	6.4
DPPA5	895.9	360.4	1352.5	361.9	1218.4	205.7
LINC00261	0.2	8.3	0.8	8.3	0.5	21.9
APOA1	9.8	168.3	29.3	1666.1	84.6	3276.5
GDF3	237.1	101.9	439.5	112	706.4	65
P4HA1	3.1	18.8	7.2	43.5	7.4	55.3
AMOTL1	0.3	4.6	1.2	4.8	0.9	11.5
FRZB	0	5.1	0.6	13.7	0.1	23.6
SUSD2	87	38.6	121	34.6	218.5	29.6
COL4A1	1.1	7.9	5	37.1	1.3	48.1
FN1	0.6	2	0.6	23.8	1.5	52.8
ESRG	46.2	18.6	81.6	18.9	72.4	13.5
MYL4	0.9	11.2	5.5	58.3	3.9	86.1
HNF1B	7	33.8	2.4	12.3	0.8	26
KLF17	11.9	4.8	30.5	5.3	25.7	2.9
CAMK2D	2.2	7.6	2.1	8.6	0.6	10
IFITM1	1003.4	583.5	1838.3	618.5	1705.7	294.3
ARGFX	25.4	13	19.2	4.9	25.7	2.3
RSPO3	0.8	5.1	2.7	27.1	1.8	64.8
MEG3	34.2	12.3	93.8	39.8	116.6	18.7
TDGF1	53.1	20.8	113.7	46.5	127.2	15.3
NODAL	21.6	11.2	122.5	23.5	181.2	27.8
NID2	0.7	7.2	0.8	7.5	0.7	22.9
UNC5B	9	7.4	18.8	1	8.2	1
NID1	25.6	67.3	28.8	63.7	12.5	72.2
SOX2	30.6	10.3	22.4	2.6	15.1	2.1
TDGF1P3	11.2	3.7	19.2	7.5	22.6	2.2
CBFA2T2	30.3	17.1	29	6.9	14.2	4
MAN1C1	24.1	7.7	31.6	2.8	10	3
PDGFRA	22.4	84.6	10.5	28.3	2.8	50.4
CADM1	16.9	41.7	11.8	46.9	8.5	79.6
DND1	35.6	22.2	75.3	16.5	64.3	12.5
LRP4	13.1	7.4	12.1	1.9	9.2	2.1
TRIM2	8.9	22.5	9	22.4	5.8	32.6
BCOR	25.4	10.6	30.5	8	19.6	5.3
ALDH1A1	4	17.6	6.7	53.8	1.6	26.8
DPPA2	49.5	18.3	124.8	45.4	143.9	35.8
DPP4	2.3	11.3	8.3	31.3	3.5	33.4
FAM46B	70.6	36.6	101.2	14.4	49	17.1
IGF1	0.3	4.2	0.8	10.6	0.4	24.8
CTSE	7.5	16.4	13.4	64	2.8	107.9
UPP1	829.1	529.9	790.3	147.6	360.7	153
MUC4	0.9	0.3	4.2	0.6	6.7	0.8
TNFRSF8	1.7	0	4.5	1.2	13.4	1.4
MAP4K1	7.5	3.9	16.4	2.6	15.9	1.7
SLC25A12	13.4	4.5	8.1	2.7	8.2	1.3
FLRT3	0.3	3	0.5	16.9	0.5	19.9
GATA4	1	7.9	4.2	20.1	1.2	35.3
MARCKS	18.1	37.8	11.4	35.4	3.6	38.5
ACE	13.5	6.6	11.1	1.3	4.3	0.6
LDLRAP1	18.1	7.3	22.1	3.7	22	7.7
GUCA1A	9.7	1.9	14.7	6	19.9	1.5
NANOG	29.8	17.7	39.7	15.3	30.1	3
ADD3	8.8	24.7	10.6	27.4	6.2	40.8
COL4A2	1.1	4.6	5.9	14.9	1.4	36.1
SLC16A9	20.2	10.7	12	0.7	9.7	2.7
FBP1	76.1	32.5	80.4	25.6	62.5	17.8
CCDC80	9.6	2.3	12.6	3	15.6	1.2
FGF4	6.6	0.6	8.2	0.3	3.7	0.8
ZSCAN10	9.6	3.8	23.4	3.3	26.3	6.5
UTF1	15.7	5.1	51.8	2.1	20.3	6.8
RNASE1	15	47	37.7	105.7	17.6	175.6
PRTG	0.3	0.7	0.8	4.8	1.7	7.5
INPP5D	10.9	6.5	17.1	4.5	12.9	2.9
SEPT6	1.7	0.4	9.8	0.7	6.1	1.2
BTLA	10.1	1.6	6.5	1.3	7.5	1.9
KIT	4.3	16.5	6.9	3.5	1.2	5.2
TBC1D16	3.6	1.2	5.5	0.8	8.6	0.7
CHST2	43.4	30.6	32.6	5.7	20.6	7.3
SCGB3A2	227.7	163.1	304.6	68.8	137.7	36.9
MT1X	630.8	345.4	415.5	119.2	652.6	103.6
CDH2	1	2.3	0.3	7.7	0.5	22.1
PARD6B	14.6	38.4	26.2	77.5	23.4	54.7
DENND2C	0.9	4.5	1.1	3.3	0.8	5.9
AMBN	0.7	10.3	1	20.3	0	3
ETV4	78.8	44	90	15.5	82.5	36.1
HEY2	6.4	3.2	6.5	0.5	6.5	0.9
RGCC	44.8	27.2	126.9	12.5	37.8	7.9
CNR2	4.7	0.5	16.2	2.8	20.2	4.3
CD320	264.4	135.4	438.2	210.1	404.1	149.2
PIM2	114.7	129.6	319.7	52.5	106.3	23
RAP1GAP2	1.7	0.4	3.7	0.3	4.3	0.7
LOC101929344	0.6	8.3	2.4	13.6	2	25.7
PBX1	2.7	1.9	3.6	0.7	3	0.7
PSORS1C2	38.7	25.4	32.9	2.7	33.9	6.1
LIM2	13.4	3	17.4	3.1	12.6	1
ITIH5	0.5	1.1	0.9	5.1	0.5	9.2
DUSP4	5.2	10.4	3.4	7.4	2.9	29
ADAMTS1	0.5	1.8	0.7	6.7	6.9	25.9
LAMB1	27.1	55.5	31.7	77.5	30	70
BMP6	4.2	8	2.5	14.2	0.8	22.7
GATA6	30	51.3	14	35.9	8.6	39.1
DPPA4	78.5	53.7	122.8	61.6	144.3	48.5
WNT3	6.4	2.2	18.1	4	15.7	2.8
GAS7	9.6	5.3	14.1	3.4	9.2	2.8
CDH11	0.5	2.7	4.2	10.4	0.7	20.2
CXCL12	7.6	7.9	20	3.1	14.4	1
MTTP	0	0.3	0.4	1.2	0	3.5
ABHD12B	28	16.2	57.4	18.3	37.6	9.9
LINC01108	19	6.1	25	7.1	17.4	5
RGS10	113.3	67.8	74.2	26.4	46.5	15.8
CPT1A	3.5	1.9	5.9	1.5	7.1	1.8
RRAD	53.6	20.9	70.4	13.2	33.6	11.9
TRIM56	8.1	2.6	6.2	0.7	3.9	2.2
VASH2	2.5	1.3	10.4	1.7	10.1	2.4
SERPINH1	47.8	95.3	132.2	82.7	32.4	180.9
ATG9B	32.9	11.7	20.9	3.5	16.5	8.2
ANKRD1	2.5	0.8	0.2	5.5	0.7	11.9
RASD1	46.7	38.5	40.4	4.8	22.9	6.8
CDHR1	12.6	5.9	11.3	2.9	11.4	3.9
HABP2	0.9	0.3	0.1	7.6	0.1	8.6
APOBEC3D	3.4	2.2	8.2	1.6	5.8	0.9
SLCO2A1	2	8.3	5.5	7.8	1.7	18.1
TMEM229B	2.5	0.9	5.7	0.6	2.4	0.2
