gene	TE_E5	TE_E6	TE_E7
GDF3	17	8.8	10.3
NODAL	1	1.8	3.9
MEG3	3.2	1.1	2
DPPA5	273.8	48	32
GPX2	42.6	17.1	21.2
IFITM1	97.9	76	168.6
IL6R	6.4	1.1	1.3
PRDM14	6.2	0.9	0.7
IFI16	6.7	0.6	1.3
FBP1	6.3	2.7	1.6
VENTX	3.6	0.5	0.5
NANOG	2.8	0.6	0.5
ETV4	9.2	2.4	5.8
ARGFX	6	0.5	0.4
CDHR1	1.5	0.4	0.5
SAT1	44.7	21.1	16.9
MAN1C1	2.7	0.4	0.5
TDGF1	7	5.9	2.7
VCAN	1.8	0.6	0.6
LRP4	1.3	0.5	0.6
MT1G	64.3	4.5	4.6
KLF17	1.9	0.9	0.5
PMAIP1	8.6	5	4.6
SOX2	4.1	1	0.4
CFLAR	19	3.1	3.7
UNC5B	1.6	0.6	0.4
ZC3HAV1	7.7	2.2	1.9
SLC16A9	1.6	0.3	0.4
ETV1	0.4	0.2	0.1
UACA	31.7	7.2	5.6
ITGAM	1.7	0.2	0.2
PIM2	26.3	19	17.9
TDGF1P3	1.4	1	0.5
DPPA2	13.1	11.4	12.4
FGFR1	7.8	2.6	4.7
BTLA	0.9	0.2	0.1
GPR176	4.7	0.9	0.3
SLC25A12	2.3	0.6	0.4
APOBEC3C	1.5	0.7	0.5
LAMA4	3.4	0.1	0.2
PRICKLE1	2.1	0.4	0.3
DND1	5.2	5.8	6.4
ANKRD45	0.7	0.2	0.1
CAPN5	4.5	1.3	1.1
PHLDA1	4.3	1.1	0.9
ST6GALNAC3	0.9	0.2	0.2
BAMBI	13	2.9	5
CBFA2T2	7.1	4.1	2.6
CCR8	3.1	0.3	0.1
MIAT	0.1	0.1	0.1
ACOT11	1.9	0.4	0.5
CEACAM6	3	0.3	0.3
GPR160	15.6	7.6	4.6
GUCA1A	0.9	0.9	1
BCOR	6.8	4.3	2.6
MT1F	9.7	0.7	1
KLK13	1.7	0.3	0.1
SFRP1	0.7	0.3	0.3
ENO2	24.7	10.3	3.2
SH3PXD2A	0.6	0.3	0.2
NRBP2	3.1	1	0.8
