Gene\Cell type,EXMC,Hypoblast,PreL-TE,PostL-EPI,VE/YE
A1BG,0.040739,0.22212237037037,0,0.0865539,0
A1CF,0.01034228125,0.495398333333333,0,0.06164118,17.74774
A2M,113.16062328125,0,0,0.231106,0.516166
A2ML1,0.14898715625,0.302692981481481,7.14959861538461,0.39067466,0.107562
A3GALT2,0.163251,0,0,0,0
A4GALT,0.488633375,26.1823733148148,100.172130769231,0.861811,0
A4GNT,0.08466171875,0.0395287777777778,0.0668696538461538,0.19258816,0.0748896
AACS,24.0756240625,50.5127933518519,28.6864759615385,23.54634184,0.677492
AADAC,0,0.014442462962963,0,0,0
AADACL2,0,0,0,0,0
AADACL3,0,1.7124667037037,6.10059136538462,3.19537428,0
AADACL4,0.01124790625,0.0236022222222222,0.0162722884615385,0.05419514,0
AADAT,9.71142003125,6.42526674074074,1.37649121153846,25.92696382,7.340735
AAED1,31.92016059375,39.1656877592593,19.2616251730769,7.08964912,32.8029
AAK1,22.0750584375,34.41434,44.1288792307692,10.10016248,7.342975
AAMP,92.60365846875,69.4404161111111,78.8572461538461,87.0022896,102.80122
AANAT,0.06403875,0.024862037037037,0,0.54854654,0
AAR2,29.0673465625,16.2290662592593,23.9335394230769,77.93952,26.3455468
AARD,0,0.00663388888888889,0,0.022545,0
AARS2,23.09917271875,23.063107962963,22.1345659615385,22.2769267,22.57973
AARSD1,27.7022343125,23.9528173518518,27.2529369230769,23.71326466,15.33656
AASDH,4.205638375,9.03962655555556,6.075396,7.67542536,0
AASDHPPT,34.89808665625,30.2365466666667,27.7357671153846,45.0912996,22.312296
AASS,38.30161359375,2.49117066666667,1.72870121153846,71.83182156,21.03685
AATK,1.756984375,0.179632037037037,0.296667288461539,1.1430088,0
ABAT,5.22056334375,1.05216681481481,5.56893101923077,15.7507616,0
ABCA1,39.75133546875,11.878763037037,66.3972163269231,8.82918254,15.117255
ABCA12,0,0.0108145185185185,0.130603269230769,0.25675,0
ABCA13,1.12467671875,0.887269648148148,0.158564942307692,0.33116132,2.689604
ABCA2,0.01537890625,0.404336777777778,0.0259041923076923,0,0.0752606
ABCA3,0,0.116976851851852,0.351772634615385,0.651076,0
ABCA4,0.2124040625,0,3.56501496153846,1.10042914,0
ABCA5,0.57459459375,47.3684273518518,2.59930078846154,4.82692372,0.3768286
ABCA6,0.34048075,0.063562537037037,0.00940119230769231,0.39621446,0.304893
ABCA7,2.281825125,1.21947314814815,0.804468865384616,1.51603914,0.0748896
ABCA8,0,0,0,0,0
ABCB1,0.16440253125,6.94122607407407,2.11702590384615,0.2598266,0
ABCB10,56.14153421875,25.9779769814815,43.74966,6.98829406,4.48754
ABCB11,0,0,0,0,0
ABCB4,0.84160325,0.598417925925926,0.183543769230769,0.32441742,0
ABCB6,17.4184524375,17.3331526481481,23.7823769230769,13.17857086,3.816436
ABCB7,21.8930683125,23.0443352962963,23.3211386923077,51.70831976,12.677096
ABCB8,3.50052325,4.14303642592593,3.11245788461539,4.4857322,4.26629
ABCB9,0.054019375,0.391788648148148,0.376519423076923,1.27142116,0
ABCC1,19.40832959375,17.5279201481481,3.61429032692308,32.70742598,64.43931
ABCC10,15.0851940625,16.832678962963,14.5633638269231,17.7179855,45.25036
ABCC11,0,0.0436492592592593,0,0,0
ABCC12,0,0,0,0.1594763,0
ABCC2,1.32123884375,4.14393040740741,0.90004825,5.3877639,2.43082
ABCC3,0.2468565625,0,0,0,0
ABCC4,15.78175578125,9.73159657407407,0.340536,55.45756962,180.75202
ABCC6,0.06028690625,0.780986907407407,0.0711191346153846,1.51670514,69.42124
ABCC8,0.0444896875,0,0.00989401923076923,3.19687948,0.107562
ABCC9,2.3871118125,0.0822714074074074,0.0823736346153846,0.41504494,0.2696376
ABCD1,2.1572573125,1.33729883333333,0.897600615384615,0.78500366,1.6886906
ABCD2,0,0.0738855555555556,0,0.00822074,0
ABCD4,17.03193471875,15.4950219074074,14.9929363461538,18.42458756,24.544864
ABCF1,112.3407875,122.561953703704,146.758884615385,145.7446,164.0508
ABCF2,5.05278771875,3.21759340740741,4.82456463461538,0.57999064,0.823784
ABCG1,0.97670859375,0.121096444444444,0.0323051346153846,3.15813006,0.107562
ABCG2,1.7298416875,17.1907146111111,98.8706875,4.8344668,0.524226
ABCG4,0,0,0,0.7855864,0
ABCG5,0.0554628125,0,0.0277915384615385,0.5463604,0.0752606
ABCG8,0,0,0,0,0
ABHD1,22.99301590625,35.4225911111111,20.6982993846154,18.97100596,17.335002
ABHD10,15.27505009375,40.6820262222222,30.0898516538462,25.08057014,33.117346
ABHD11,68.3579040625,48.5010048148148,60.5719126923077,52.8236242,48.414152
ABHD12,160.487621875,618.7365,942.278326923077,38.3775026,287.935415
ABHD12B,0.06487375,0,0,0.04978918,0
ABHD13,23.6624565625,14.537374462963,10.6058836730769,23.69031814,25.889237
ABHD14A,11.3609859375,4.49221501851852,0.174542884615385,3.306072,15.239088
ABHD14B,2.5506496875,2.8078467962963,0.970620884615385,4.69603872,8.42106
ABHD15,10.2310665625,11.2364055925926,9.20663384615385,21.0076872,12.660676
ABHD16A,27.38818790625,92.5257042592592,23.7024355769231,11.28388562,12.7698
ABHD16B,0,0,0.0942242307692308,0.08700816,1.56267
ABHD17A,12.4659434375,11.5750238518518,23.0601103846154,11.1385555,30.20684
ABHD17B,1.23054984375,1.16976785185185,1.62530042307692,3.98663454,4.5624296
ABHD17C,18.9415086875,196.453396296296,328.655790384615,33.01562076,46.3438
ABHD4,22.8815419375,29.1961457222222,96.1713673076923,51.8664896,36.447551
ABHD5,8.5466356875,76.3233803888889,34.3076093461539,6.67782514,22.64744
ABHD8,3.088578875,0.718888592592593,0.837245788461539,6.9924848,0.1547428
ABI1,25.093416,49.8936787777778,36.8087426923077,15.59452844,15.526546
ABI3,12.30770615625,0.740678703703704,0.0564287307692308,2.1299079,0
ABI3BP,3.557996875,1.60605724074074,0.419401173076923,2.96096944,0.0752606
ABL1,52.622378875,71.2959992592593,20.9825948846154,62.39281812,63.085626
ABL2,2.0174666875,1.05809701851852,1.34820263461538,1.3630638,0.773714
ABLIM2,0.0916038125,0.010367,1.38999375,0.08262934,0.2254106
ABLIM3,0.0114454375,0.0237411481481481,0.976157692307692,2.8913812,0
ABO,0,0.0116843148148148,0.884694230769231,0.53838676,0
ABR,6.6818445,17.7431057777778,8.59519855769231,18.02261722,63.82708
ABRA,0,0.429459018518519,0.390967057692308,0.0714364,0
ABRACL,31.99629059375,55.2476611111111,102.157380769231,53.45518674,32.4410316
ABT1,34.33220328125,38.883487037037,50.97989,24.90226116,30.17756
ABTB1,2.511998125,0.696738518518519,1.81348361538462,0.5800928,1.730992
ABTB2,24.05336071875,11.4128602037037,13.2524607307692,4.88665114,86.909206
ACAA1,17.4113211875,53.5345925925926,39.9164211538462,5.94178198,13.776863
ACACA,31.671855125,53.1783955185185,49.2536723076923,71.5477818,50.98638
ACACB,1.43649584375,2.54551898148148,1.25562603846154,0.99528502,4.2533206
ACAD10,2.7241953125,3.23936511111111,2.91402742307692,6.3204596,0.149779
ACAD11,15.4430403125,41.9994573888889,12.6135563269231,21.37103564,27.6221296
ACAD8,49.27050125,36.5793474074074,37.5941613461538,80.842372,34.46878
ACADL,0.8507809375,3.0687207962963,2.59730946153846,2.2705672,8.17472
ACADS,5.708723625,14.692519,4.86213451923077,3.93052124,13.55179
ACADSB,19.1151026875,13.2985690555556,4.69885794230769,24.302208,19.43558
ACAN,0,0,0.411119403846154,0.0346658,0
ACAP1,0,0.00646737037037037,0.0227092307692308,0.77687976,0
ACAP2,62.351886875,67.9021357407407,53.9305842307692,71.6043066,62.83528
ACAP3,4.36173853125,1.28370001851852,2.66846448076923,0.52484282,2.77092
ACAT1,42.9775528125,91.4298957407407,223.462176923077,50.9546084,82.15192
ACBD3,84.3019746875,115.532794444444,67.6633684615385,48.025008,49.52158
ACBD4,5.21527225,4.28530816666667,2.73188578846154,4.54430928,11.508334
ACBD5,13.264798,36.9417940740741,32.9660280384615,22.95535422,27.31624
ACBD6,32.0650334375,68.9673346481482,287.248692307692,56.5181642,39.162472
ACCS,2.172409375,1.48519438888889,6.68087642307692,6.366035,9.73564
ACCSL,0,0,0,0,0
ACD,4.9873421875,7.70344446296296,6.69173642307692,7.99327404,2.1018708
ACE,0.3102815625,0,0.00928928846153846,0.01750534,0
ACE2,5.7279696875,27.9354682222222,81.4972786538462,0.01880294,0
ACER1,0.65020375,0.407889907407407,0.581942211538461,2.73061282,0.0748896
ACER2,13.20705634375,27.0753436296296,152.709473076923,10.10607968,0.0752606
ACER3,23.21558890625,21.5328746296296,26.0382870576923,28.66000748,57.684321
ACHE,0.1034271875,1.00506557407407,0.0698004230769231,0.21049644,0
ACIN1,131.90440625,91.7909407407408,96.1863057692308,160.677642,206.23068
ACKR2,0.0420359375,0.778878666666667,7.32588721153846,0.08653398,0
ACKR3,9.11332359375,1.37721157407407,2.79211719230769,3.23224464,33.0925626
ACKR4,0.569949125,0.317880259259259,0.0978362115384615,0.21155916,0.0752606
ACLY,138.575628125,131.523857777778,142.778953846154,321.39836,298.2128
ACMSD,0.1621289375,0.0215709259259259,0.145351,0.28541808,0
ACN9,25.49976075,15.1097704814815,12.0810040192308,42.78815498,128.92312
ACO1,49.704105,64.5635759259259,28.1714488461538,41.1324304,38.22833
ACOT1,0.03396671875,0.14511487037037,0.0909022884615385,0.285388,0.149779
ACOT11,0,0.00571053703703704,0.668525288461538,0.7891586,0
ACOT12,0.018929375,1.33306259259259,0,0,0
ACOT13,78.67270890625,26.5388597407407,18.8746985192308,25.67467508,44.2132246
ACOT4,0,20.5527754074074,7.02383694230769,3.1168578,0
ACOT8,8.32799034375,3.95021522222222,4.92839596153846,9.03058678,4.3404668
ACOT9,16.9472159375,13.6701342222222,3.59927182692308,3.1861526,0.1828226
ACOX1,11.4954203125,28.201727037037,21.6663201923077,20.3019704,25.712076
ACOX2,0.6902433125,49.6561347222222,6.08414419230769,4.00429164,0
ACOX3,8.90066565625,5.78485092592593,10.0951309423077,11.84069388,1.95492
ACP1,144.5712125,173.696262962963,198.880734615385,157.592762,117.34038
ACP2,14.4659119375,8.33037494444445,10.4705294230769,14.68564908,5.9987268
ACP5,2.72360709375,2.1144227962963,0.677913884615385,1.62269714,9.01932
ACP6,45.64432284375,38.3845992592593,83.5000563461538,66.7109058,18.7774
ACPP,0,0.028885,0.0331411346153846,0.1239596,0
ACPT,0.18331934375,0.107038018518519,0.0228842307692308,0.0770248,0
ACR,0,0.21094037037037,0,0.04779308,0.0748896
ACRBP,0,0.0232937037037037,0,0.1242744,0
ACRC,0.01795703125,3.99475259259259,0.780490230769231,0.339802,0
ACRV1,0.19243434375,0.916628018518518,0.276296596153846,0.26139568,0
ACSBG1,0.6628515625,0.0623359259259259,0.452628769230769,1.19634072,0.2369652
ACSF2,1.29398875,1.53913211111111,2.87670628846154,1.9382644,0
ACSF3,0.547988375,1.17439140740741,1.21132138461538,0.92640686,0
ACSL1,2.66806553125,0.698455592592593,0.0823854038461538,2.65407154,0
ACSL3,89.0384293125,367.338592592593,193.929117307692,138.332804,125.23158
ACSL4,26.991293375,44.4715440555556,35.3137751730769,68.9326144,28.438276
ACSM1,0,0.359648148148148,0.492064038461539,0,0
ACSM2B,0.07578978125,0.0198015185185185,0.0126504038461538,0.06539518,0.107562
ACSM3,13.34527471875,12.6376470925926,17.9878900961538,6.59414534,12.125384
ACSM4,0.53456834375,1.21964631481481,0.41045825,1.26073166,1.493768
ACSM5,0.0124369375,0.0448261111111111,0,0,0
ACSS1,2.1542125,3.0076487037037,1.25070967307692,1.17630802,0
ACSS2,3.9324759375,65.0424125185185,20.9711554615385,2.01476868,0
ACTA1,3.09233578125,5.81738568518518,8.65136565384615,3.26899312,3.843042
ACTA2,8.3141333125,0.0101562407407407,0.0372918461538462,0.05796884,3.2362
ACTB,3292.9328125,2718.15277777778,4625.63326923077,1956.79262,2922.758
ACTBL2,0,0,0,0,0
ACTC1,8.39814634375,0.0509217962962963,0.293309769230769,19.9463122,0.2903846
ACTL10,0.30634115625,0,0,0,0
ACTL6A,91.263765625,100.288977777778,72.3245576923077,137.2539514,52.10467
ACTL6B,0,0,0,0,0
ACTL7A,0.018103875,0,0.194500346153846,0.0428148,0
ACTL7B,0.690721625,0.155118944444444,0.157320846153846,0.02057206,0
ACTL8,0,0.027301537037037,0.0613926923076923,0.768293,0
ACTL9,0.05291740625,0,0.00987361538461539,0.00677916,0
ACTN2,17.02706875,2.76608851851852,0.220103692307692,1.99692646,3.098555
ACTN3,0.0445559375,0,0.00884282692307692,2.5411319,0
ACTN4,42.982304375,48.6653368518519,79.1030711538461,32.7910506,31.486894
ACTR10,87.08416875,107.668643703704,95.7367384615384,101.23440394,124.1644
ACTR1B,92.7787404375,47.3930446296296,34.2073263461538,46.8443752,40.13426
ACTR2,283.58680625,350.597722222222,348.793880769231,254.43433,381.3054
ACTR3,230.43069375,455.909416666667,406.765115384615,177.127286,106.052234
ACTR3B,17.7242590625,13.6566931481481,11.9340881923077,44.4422602,9.6877616
ACTR5,11.29133190625,18.1463477592593,23.4975686538462,14.5700353,6.45006
ACTR6,26.40250996875,35.1330298148148,33.47417475,37.39279994,12.594632
ACTR8,26.561848625,39.7225859259259,25.0226007692308,28.55838958,9.833666
ACTRT2,0,0,0,0,0
ACTRT3,1.1166775,1.17925388888889,0.471002307692308,2.5676694,0.0748896
ACVR1,49.26323209375,33.2276072592593,18.1124440769231,31.5365728,82.00206
ACVR1C,0,0,0,0.2152321,0
ACVR2A,49.0332675,18.1513247037037,9.79768817307692,22.55492234,35.069596
ACVR2B,74.473240625,33.9455688888889,56.6411188461538,118.816434,132.46122
ACVRL1,37.78080125,3.97717194444444,1.03272788461538,4.6554516,6.513161
ACY3,0,0,0,0,0
ACYP1,6.6417458125,10.1696823703704,19.4084875769231,10.78577582,52.7154028
ACYP2,3.299788625,0.658656203703704,0.618235,4.82579026,0
ADA,1.969556875,36.7311009444444,2.11382469230769,6.39165582,53.86086
ADAD1,1.00893803125,0.00934488888888889,0.584859615384615,0.0059703,0.107562
ADAD2,1.5101234375,0.361387296296296,0.0376380769230769,4.0901743,0
ADAM11,0.26045303125,0.259022796296296,1.29144134615385,0.86122306,4.647968
ADAM12,149.919734375,0,0,2.1634838,0.4243804
ADAM15,1.1483501875,0.256313111111111,1.09612246153846,1.16346662,0
ADAM17,11.113995,25.1670937037037,20.5859448461538,13.28767838,39.597642
ADAM19,44.44405159375,91.2947910185185,36.6317703846154,32.77518292,320.315114
ADAM2,0.0464678125,0.0135073703703704,0,0.0322282,0
ADAM20,0,0.914325018518519,0.705732557692308,0.00800018,0
ADAM21,0,0.154708203703704,0.254743269230769,0.8936254,0
ADAM22,0.2474540625,0.482804222222222,0.102343538461538,5.188741,0
ADAM23,1.1139125625,0.120610537037037,0.379160096153846,20.16763368,0.5203878
ADAM28,0.01832890625,2.13938537037037,0,0.01750534,0.107562
ADAM29,0,0,0,0,0
ADAM32,0.456522125,0.698934351851852,0.872787153846154,1.76965834,0
ADAM33,2.20987596875,0.0686760185185185,0.0447294230769231,5.87291928,0.281192
ADAM5,0,0,0,0,0.0752606
ADAM7,0,0,0,0,0
ADAM8,7.24276125,7.12508411111111,26.7029442115385,2.97600054,9.4979846
ADAM9,30.07053490625,66.9768953703704,78.4900153846154,8.2445224,6.223468
ADAMDEC1,0.86214996875,0.263742722222222,0.153115711538462,0.84487216,1.47249
ADAMTS1,340.6983353125,20.5142752037037,24.7756461730769,3.71071224,5.736239
ADAMTS10,1.69603028125,0.114329092592593,0.199545730769231,2.7623402,0.4243804
ADAMTS12,0.03063946875,0.190561444444444,0,3.7923476,5.8918606
ADAMTS13,9.67709296875,0.634145740740741,2.02883044230769,3.13301282,0
ADAMTS14,0,0,0,0.031911,0
ADAMTS15,44.1929340625,0,0,2.33612812,1.0820056
ADAMTS16,4.27755971875,1.19768166666667,0.670500096153846,3.38606924,8.265216
ADAMTS17,16.1690728125,10.555667037037,7.94760307692308,26.4041762,12.986456
ADAMTS18,8.18583209375,0.0445771111111111,0.0371571153846154,8.13774522,144.784928
ADAMTS19,9.2875123125,4.67721161111111,0.0523548653846154,30.5178852,275.2054
ADAMTS2,2.69064734375,0,0,0,0
ADAMTS20,67.99969359375,0.281466,0.735795019230769,4.48943806,0.4923086
ADAMTS3,9.853755125,2.21571466666667,1.02168159615385,5.52323422,8.7408606
ADAMTS4,20.73753059375,1.68067409259259,1.60228869230769,1.76760242,9.4822116
ADAMTS5,6.98369590625,0.254901277777778,0.174990173076923,1.10448026,33.780614
ADAMTS6,33.0812813125,6.39831633333333,11.6752015576923,0.98692342,1.4559708
ADAMTS7,1.345540875,0.0833692592592593,0.0140669423076923,8.11213012,0
ADAMTS8,3.6409378125,0.00675368518518519,0,0.05094614,0
ADAMTS9,136.8015915625,0,0,3.59557096,0.3698668
ADAMTSL1,0,0.224101111111111,0.0381003846153846,0.23539734,0
ADAMTSL2,2.52713778125,2.5252367037037,2.08997144230769,2.5554009,3.629472
ADAMTSL3,0.03433625,0.031315,0.557280653846154,0.5246149,0
ADAMTSL4,1.31251425,8.4417387962963,5.62358184615385,1.57843388,0.107562
ADAMTSL5,1.09935509375,8.94003216666666,2.22087290384615,0.62016222,9.7342496
ADAP1,0,0.119232648148148,1.00071128846154,0.38154742,0
ADAP2,0.3762159375,3.63676964814815,0.955266615384615,0.03584816,1.881514
ADARB1,3.534964125,8.03971201851852,7.87953042307692,5.63125644,6.2649806
ADARB2,0,0,0.0272071153846154,0.01283746,0
ADAT1,4.053805,3.71437753703704,3.44584601923077,1.7935448,0.299558
ADAT2,4.26497196875,3.53755487037037,5.15318032692308,3.0742472,0
ADAT3,9.4753744375,8.17413009259259,9.78210711538462,9.4258304,12.163398
ADC,0.858190625,0.805954537037037,0.114604634615385,2.51892876,0.464228
ADCK1,7.856790625,16.8613341851852,26.7460640384615,18.90260258,25.4547246
ADCK3,5.521685,3.33231568518519,14.1131671538462,24.1335987,10.4788768
ADCK4,7.8185053125,6.07892605555556,10.4229552115385,5.18057191662731,19.006104
ADCK5,1.1765086875,1.24973653703704,1.33695953846154,0.37883478,0.33223
ADCY2,0.01316553125,0,0.0671258653846154,0.3186804,0
ADCY4,0,0,0.0127626538461538,0.08759658,0
ADCY5,0.06145096875,0.35982862962963,0.112892076923077,12.17471134,0
ADCY6,5.4914038125,10.9182389444444,3.22599878846154,3.82062724,20.4916
ADCY7,8.496068875,4.82226035185185,7.45311671153846,5.38670412,2.80315
ADCY8,0,0,0,0.0904282,0
ADCY9,1.0354511875,3.47853459259259,1.04412480769231,0.36495998,0
ADCYAP1R1,0.1735375,0.0213690740740741,0,2.62847146,0
ADD2,2.2003281875,0.0190648888888889,0.0274982692307692,41.408436,0.301939
ADD3,163.62146875,455.678055555555,55.0011653846154,76.61886594,479.4764
ADGB,0.0625935625,0,0.0452515,0.0921555,0.225782
ADH1A,0,0,0,0,0
ADH1B,0,0,0,0.02615956,0
ADH1C,0,0,0,0,0
ADH4,0.23053678125,0.38795062962963,0.503766480769231,0.10239292,1.580472
